date,narration,debit,credit,balance,account_number
2024-01-01 00:00:00,TRANSFER TO JOHN DOE,184000,0,816000,1234567890
2024-01-01 06:00:00,SALARY PAYMENT,50000,0,766000,1234567890
2024-01-01 12:00:00,POS PURCHASE VENDOR X,50000,0,716000,1234567890
2024-01-01 18:00:00,BANK CHARGE COMMISSION,15000,0,701000,1234567890
2024-01-02 00:00:00,BANK CHARGE COMMISSION,15000,0,686000,1234567890
2024-01-02 06:00:00,BANK CHARGE COMMISSION,5000,0,681000,1234567890
2024-01-02 12:00:00,ATM WITHDRAWAL,50000,0,631000,1234567890
2024-01-02 18:00:00,BANK CHARGE COMMISSION,50000,0,581000,1234567890
2024-01-03 00:00:00,SALARY PAYMENT,50000,0,531000,1234567890
2024-01-03 06:00:00,INWARD TRANSFER,0,2400000,2931000,1234567890
2024-01-03 12:00:00,TRANSFER TO JOHN DOE,50000,0,2881000,1234567890
2024-01-03 18:00:00,POS PURCHASE VENDOR X,50000,0,2831000,1234567890
2024-01-04 00:00:00,POS PURCHASE VENDOR X,5000,0,2826000,1234567890
2024-01-04 06:00:00,TRANSFER TO JOHN DOE,5000,0,2821000,1234567890
2024-01-04 12:00:00,INWARD TRANSFER,184000,0,2637000,1234567890
2024-01-04 18:00:00,ATM WITHDRAWAL,5000,0,2632000,1234567890
2024-01-05 00:00:00,POS PURCHASE VENDOR X,50000,0,2582000,1234567890
2024-01-05 06:00:00,ATM WITHDRAWAL,50000,0,2532000,1234567890
2024-01-05 12:00:00,SALARY PAYMENT,50000,0,2482000,1234567890
2024-01-05 18:00:00,ATM WITHDRAWAL,5000,0,2477000,1234567890
2024-01-06 00:00:00,SALARY PAYMENT,15000,0,2462000,1234567890
2024-01-06 06:00:00,POS PURCHASE VENDOR X,0,100000,2562000,1234567890
2024-01-06 12:00:00,ATM WITHDRAWAL,184000,0,2378000,1234567890
2024-01-06 18:00:00,TRANSFER TO JOHN DOE,15000,0,2363000,1234567890
2024-01-07 00:00:00,BANK CHARGE COMMISSION,0,100000,2463000,1234567890
2024-01-07 06:00:00,POS PURCHASE VENDOR X,5000,0,2458000,1234567890
2024-01-07 12:00:00,BANK CHARGE COMMISSION,184000,0,2274000,1234567890
2024-01-07 18:00:00,SALARY PAYMENT,184000,0,2090000,1234567890
2024-01-08 00:00:00,POS PURCHASE VENDOR X,5000,0,2085000,1234567890
2024-01-08 06:00:00,INWARD TRANSFER,15000,0,2070000,1234567890
2024-01-08 12:00:00,BANK CHARGE COMMISSION,0,2400000,4470000,1234567890
2024-01-08 18:00:00,POS PURCHASE VENDOR X,50000,0,4420000,1234567890
2024-01-09 00:00:00,ATM WITHDRAWAL,50000,0,4370000,1234567890
2024-01-09 06:00:00,BANK CHARGE COMMISSION,0,0,4370000,1234567890
2024-01-09 12:00:00,SALARY PAYMENT,50000,0,4320000,1234567890
2024-01-09 18:00:00,BANK CHARGE COMMISSION,15000,0,4305000,1234567890
2024-01-10 00:00:00,BANK CHARGE COMMISSION,5000,0,4300000,1234567890
2024-01-10 06:00:00,POS PURCHASE VENDOR X,50000,0,4250000,1234567890
2024-01-10 12:00:00,ATM WITHDRAWAL,5000,0,4245000,1234567890
2024-01-10 18:00:00,ATM WITHDRAWAL,50000,0,4195000,1234567890
2024-01-11 00:00:00,ATM WITHDRAWAL,50000,0,4145000,1234567890
2024-01-11 06:00:00,POS PURCHASE VENDOR X,184000,0,3961000,1234567890
2024-01-11 12:00:00,INWARD TRANSFER,50000,0,3911000,1234567890
2024-01-11 18:00:00,TRANSFER TO JOHN DOE,184000,0,3727000,1234567890
2024-01-12 00:00:00,BANK CHARGE COMMISSION,0,100000,3827000,1234567890
2024-01-12 06:00:00,BANK CHARGE COMMISSION,50000,0,3777000,1234567890
2024-01-12 12:00:00,INWARD TRANSFER,50000,0,3727000,1234567890
2024-01-12 18:00:00,TRANSFER TO JOHN DOE,50000,0,3677000,1234567890
2024-01-13 00:00:00,INWARD TRANSFER,184000,0,3493000,1234567890
2024-01-13 06:00:00,POS PURCHASE VENDOR X,50000,0,3443000,1234567890
2024-01-13 12:00:00,POS PURCHASE VENDOR X,15000,0,3428000,1234567890
2024-01-13 18:00:00,TRANSFER TO JOHN DOE,0,0,3428000,1234567890
2024-01-14 00:00:00,SALARY PAYMENT,5000,0,3423000,1234567890
2024-01-14 06:00:00,SALARY PAYMENT,5000,0,3418000,1234567890
2024-01-14 12:00:00,POS PURCHASE VENDOR X,184000,0,3234000,1234567890
2024-01-14 18:00:00,TRANSFER TO JOHN DOE,0,100000,3334000,1234567890
2024-01-15 00:00:00,ATM WITHDRAWAL,0,2400000,5734000,1234567890
2024-01-15 06:00:00,TRANSFER TO JOHN DOE,5000,0,5729000,1234567890
2024-01-15 12:00:00,ATM WITHDRAWAL,184000,0,5545000,1234567890
2024-01-15 18:00:00,INWARD TRANSFER,15000,0,5530000,1234567890
2024-01-16 00:00:00,INWARD TRANSFER,0,0,5530000,1234567890
2024-01-16 06:00:00,POS PURCHASE VENDOR X,5000,0,5525000,1234567890
2024-01-16 12:00:00,ATM WITHDRAWAL,15000,0,5510000,1234567890
2024-01-16 18:00:00,ATM WITHDRAWAL,15000,0,5495000,1234567890
2024-01-17 00:00:00,ATM WITHDRAWAL,15000,0,5480000,1234567890
2024-01-17 06:00:00,ATM WITHDRAWAL,50000,0,5430000,1234567890
2024-01-17 12:00:00,BANK CHARGE COMMISSION,15000,0,5415000,1234567890
2024-01-17 18:00:00,BANK CHARGE COMMISSION,15000,0,5400000,1234567890
2024-01-18 00:00:00,INWARD TRANSFER,5000,0,5395000,1234567890
2024-01-18 06:00:00,BANK CHARGE COMMISSION,184000,0,5211000,1234567890
2024-01-18 12:00:00,POS PURCHASE VENDOR X,50000,0,5161000,1234567890
2024-01-18 18:00:00,BANK CHARGE COMMISSION,5000,0,5156000,1234567890
2024-01-19 00:00:00,SALARY PAYMENT,5000,0,5151000,1234567890
2024-01-19 06:00:00,TRANSFER TO JOHN DOE,15000,0,5136000,1234567890
2024-01-19 12:00:00,ATM WITHDRAWAL,50000,0,5086000,1234567890
2024-01-19 18:00:00,INWARD TRANSFER,184000,0,4902000,1234567890
2024-01-20 00:00:00,TRANSFER TO JOHN DOE,184000,0,4718000,1234567890
2024-01-20 06:00:00,BANK CHARGE COMMISSION,5000,0,4713000,1234567890
